,corr_with_y
0,0.8193859241855663
1,0.8266625391005074
2,0.8259226128919646
3,0.821885360423994
4,0.2213951713405847
5,0.3908690521807996
6,0.827279066284636
7,0.8340145168277225
8,0.8335168134955142
9,0.8298170158796853
10,0.22051081773387027
11,0.39137913782256645
12,0.8344931156911242
13,0.8415003054408661
14,0.8406267394702149
15,0.8373414456838578
16,0.21915962715908277
17,0.391318187020858
18,0.8418995335589996
19,0.8490858391652271
20,0.847934156334391
21,0.8450320865252245
22,0.21855256716280408
23,0.3922224793389031
24,0.8497340049193137
25,0.8567194509813307
26,0.8555671742976731
27,0.85271556731554
28,0.21966615926835042
29,0.3949940705850027
30,0.8575120552560525
31,0.864756945149665
32,0.8634413054200001
33,0.8606109581485679
34,0.21926421198092738
35,0.3965757056467095
36,0.8654540943106854
37,0.8731671958913075
38,0.8715479126623735
39,0.8687079309130944
40,0.22098493724808618
41,0.4003045929844984
42,0.8739959781628774
43,0.8814527582450212
44,0.8799124434376546
45,0.8772057997323613
46,0.2247954986373417
47,0.40523737120505865
48,0.882281580514943
49,0.8901426898421593
50,0.8883535173029847
51,0.8857905801232091
52,0.2269363726389532
53,0.40871218867994474
54,0.8910567262478212
55,0.8986548118069754
56,0.8968549801893524
57,0.8944447181346352
58,0.22870144469701478
59,0.4120787026197584
60,0.8995615312443138
61,0.9072378042563808
62,0.9052750336064417
63,0.9031043911496556
64,0.22875947050157003
65,0.41389759718373054
66,0.9080730560784595
67,0.9160524604129927
68,0.9139818262715884
69,0.9118938838319951
70,0.23037258542566527
71,0.4173823217357399
72,0.9168514270862366
73,0.9246247431469399
74,0.9225159756144253
75,0.9206557670903474
76,0.23055318585659554
77,0.41943627996829425
78,0.925228479272063
79,0.9330182803148329
80,0.9309131413883269
81,0.9292167928764851
82,0.23046965287880092
83,0.42109013088297165
84,0.9339098773004129
85,0.9417388697995001
86,0.9395548332346344
87,0.937948632023392
88,0.2305790014688691
89,0.42328578132905903
90,0.9427177188299953
91,0.9512735738957617
92,0.9487136837788622
93,0.946952327750995
94,0.2319981170762932
95,0.42678326288907975
96,0.9525961690183453
97,0.960901064911236
98,0.9584479613668929
99,0.9568620116464501
100,0.2322716557177522
101,0.4296888628674555
102,0.9618881905704825
103,0.9705209976705672
104,0.9679133393319338
105,0.9662850905201911
106,0.23234812664435595
107,0.43232844725346947
108,0.9719222765718488
109,0.9805062880141866
110,0.977880457529421
111,0.9763199459165426
112,0.2310555682570367
113,0.434136284037018
114,0.9815981513622706
115,0.9902230074404933
116,0.9873271035047965
117,0.9862483666808932
118,0.22801814675227625
119,0.4343404479549981
120,0.18436700625830957
121,0.14519003913171583
122,0.24719594920973703
123,0.11246898468209958
124,0.09009875789220727
125,0.09176871470438563
126,0.2706954239489136
127,0.17520177740303824
128,0.0916308485475215
129,0.05750534658818854
130,0.18550984285296473
131,0.219732618446657
132,0.2674132895743164
133,0.11249580709022518
134,0.1459273902893376
135,0.12770537947091384
136,0.05213874063460762
137,0.10840620748481467
138,0.1920466558523695
139,0.1899001591439642
140,0.2188705411118402
141,-0.10002294479933502
142,0.15846634249294106
143,0.07741851767868811
144,0.2845767814620406
145,0.18312453182498414
146,0.15779622538422597
147,0.2500538552985376
148,0.2581994932554835
149,0.1486497443066786
150,0.10786197940396286
151,0.12535851277402002
152,0.04887361147571865
153,0.128979920162162
154,0.2000106836506948
155,0.3537096923384473
156,0.2219842844758524
157,0.11468559887785046
158,0.2308447956147333
159,0.07523530984525521
160,0.21789617024044594
161,-0.11533292250142879
162,0.12073869399553075
163,0.2018761925001177
164,0.2265705559711279
165,0.15933677647814667
166,-0.010148539745047707
167,0.17547822029879878
168,0.10130992006332334
169,0.13334452019404572
170,0.07131947173901947
171,0.10872675253884982
172,0.1894503893000224
173,0.239850467058531
174,0.11315966721093637
175,0.14121309833068374
176,0.1430363954804801
177,0.12495059282620555
178,0.19093378346114337
179,0.21741706525151816
180,0.20993606206888532
181,0.12247844540685647
182,0.05217877565009966
183,0.04218543993929859
184,0.13858953854980405
185,0.07873964208860035
186,0.038019809980891175
187,0.0679024284603411
188,0.2539861850863457
189,0.3276961194121748
190,-0.0786171996078786
191,0.17378575895900455
192,0.11833354735660657
193,0.20377882939350286
194,0.2484154424261572
195,0.1291611717578538
196,0.2144745416979695
197,0.12135616646054298
198,0.22283679235032142
199,0.24345719381916503
200,0.2215288951762915
201,0.13123541371548328
202,0.060699528568441005
203,0.08155831563009186
204,0.17029545642979263
205,0.25307622677307157
206,-0.09007091982154591
207,-0.027937563379155372
208,0.12110757562926912
209,0.2593732538630211
210,0.25766369216821783
211,0.176630882459077
212,0.3263348331617742
213,0.2180137565228856
214,0.2321255254021913
215,0.05750534658818857
216,0.07291166348238984
217,0.1261619093879298
218,0.23371587735438937
219,0.2284960162453822
220,0.2328594803309366
221,0.2845762828302411
222,0.12936674251393143
223,0.12785194760718452
224,0.1611854292534684
225,0.28874396440567984
226,0.22420132074888974
227,0.22224637091475793
228,0.09531381570079087
229,0.06541976845581497
230,0.12200974581614338
231,0.23952659512249574
232,0.05068514419696732
233,0.20989635977333507
234,0.04068375183069406
235,0.08211372402782058
236,0.05785765796396832
237,-0.07780947623783635
238,0.16853489660939092
239,0.1892304327775341
240,0.1680199866739172
241,0.17333468985512682
242,0.07286537212858304
243,0.1169925060695335
244,0.29218029664921014
245,0.2908117917767519
246,0.16529830786929237
247,0.24816709616111646
248,0.2019928218006658
249,0.24048716612093132
250,0.1369169268245969
251,0.1597020888667558
252,0.13833294283758185
253,0.007072605350299286
254,0.11243687921676777
255,0.1970598332327778
256,0.06862131852922958
257,0.21450986452657375
258,0.0596904196852086
259,0.10029929001194117
260,0.0963559724833621
261,0.11030508047770327
262,0.08456452380447936
263,0.05114045749552389
264,0.06862131852922908
265,0.10841487924964863
266,0.11348893650702678
267,0.11884267495501707
268,0.09012228709136062
269,0.07976356575224974
270,0.07542156028425603
271,0.08589072803829563
272,0.10056843182667825
273,0.15248987528215058
274,0.06516371850731842
275,0.12623752599890103
276,0.2038160835678312
277,0.08128607157454126
278,0.10069194702237738
279,0.12669184216303117
280,0.08423386964028258
281,0.0916243123631539
282,0.13060413449202893
283,0.22177100260154503
284,0.038631979000951826
285,0.21567987069216055
286,0.2329964773168113
287,0.1026248143858588
288,-0.06947230734654535
289,0.21112359939294742
290,0.17301610424453623
291,0.11298428665156968
292,0.1746520123240913
293,0.08017024179835519
294,0.11468559887785046
295,0.08503544996116698
296,0.039930701177335846
297,0.2504811003235759
298,0.0851432331138428
299,0.2590650781151745
300,0.07309006832835806
301,0.08297842607796865
302,0.05627808416338243
303,0.07906465345087657
304,0.22809942983258036
305,0.1641048428790918
306,0.049331965209064944
307,0.08511549635944966
308,0.10845384091998687
309,0.15912146105480607
310,0.3232060341874246
311,0.07119674280653854
312,0.15542004447661234
313,0.10140993937661373
314,0.10613700561852536
315,0.07346139774358673
316,0.15822727559462385
317,0.15346779807269903
318,0.06383732320259314
319,0.15463288556999863
320,0.13217530950433984
321,-0.09240528122605186
322,0.18760965371260407
323,0.16662121156793172
324,0.15349133132799522
325,0.31588154743932695
326,0.2823709483896327
327,0.10177812251669854
328,0.18537750768858724
329,0.23281209999388988
330,0.1170685090787821
331,0.19277182086760322
332,0.0948026337176969
333,0.125563135329965
334,0.08460145291898889
335,0.2705995187667961
336,0.2852819470751943
337,0.27501913524571747
338,0.12196950084957302
339,0.09661925838966756
340,0.18556383276769953
341,0.3046535616124434
342,0.3595646649120551
343,-0.22628611527535733
344,0.320165091197657
345,0.31412758031795357
346,0.27847055911497964
347,0.055413015604839064
348,-0.035569424703850695
349,0.23564975708056804
350,0.2656398962337523
351,0.17589912509624245
352,0.27411754918661674
353,0.20325083485615142
354,0.10134667749183995
355,0.12757902813537342
356,0.0750007795450051
357,0.14238120643389174
358,0.262618679308447
359,0.12120282661686076
360,0.2712415561893062
361,0.10880567546782673
362,0.10002805301438268
363,0.09608468632214819
364,0.08936216411767225
365,0.12036378625983532
366,0.1393702242658676
367,0.2984976048461062
368,0.3492137726248268
369,0.10654221737382381
370,0.16988197736492866
371,0.2196548932131087
372,0.1358839220508565
373,0.11270726569844407
374,0.10606365340060535
375,0.10326205831572673
376,0.12658525297445655
377,0.12872388853716238
378,0.1826923739829985
379,0.09309584724920848
380,0.27350413447880406
381,0.17485755964884797
382,0.17859577564750923
383,0.3150787562458848
384,0.1609170902244264
385,0.13591380516133736
386,0.2918528406917219
387,0.23206225553084384
388,0.09126688214467668
389,0.21420457724804237
390,0.28151316682113525
391,0.17967501913622463
392,-0.051893156684443734
393,0.0760705369236854
394,0.057461598502226194
395,0.08181840655105317
396,0.10132703876091821
397,0.07616120818073496
398,0.0625107214526876
399,0.05967391217126085
400,0.06667592021530003
401,-0.03880355520679
402,0.14929250209539968
403,0.12447448436954936
404,0.20462547930070735
405,0.03037360379126812
406,-0.08056110929984098
407,-0.041384371382012085
408,-0.06736222280274957
409,0.1829656899839814
410,0.20966024327682073
411,0.11982894352163816
412,0.10770701056102093
413,-0.051805519217598364
414,0.26003611016608175
415,0.13767316439425073
416,0.20484693042265092
417,0.17496120498368817
418,0.00536869639110555
419,0.21111950410121683
420,0.3025711510425955
421,0.3011427834869046
422,0.18452187584426294
423,0.1563152794188382
424,0.09006613170033896
425,0.1677119810160334
426,0.2977819566249303
427,0.31213196444537955
428,0.125604127191979
429,0.32080470878618184
430,0.20472176118747673
431,0.32671225543186444
432,0.1625624490574736
433,0.162919859463763
434,0.1670167731079281
435,0.1691914498682963
436,0.1590917786134001
437,0.26089181842546916
438,0.30305082668430816
439,0.13693882936647292
440,-0.06938142814923218
441,0.09221846195836401
442,0.10252015279753214
443,0.09218750454914233
444,0.24641354828876025
445,0.24371919378028786
446,0.11115985835232872
447,0.09949869515980944
448,0.13013219377194535
449,0.24306714420434197
450,0.24850108519385528
451,0.18042204851504395
452,0.06694166183052908
453,0.1885726040022607
454,0.14284593396192918
455,0.08377825685620643
456,0.18354513028208813
457,0.27034183959363417
458,0.19046371277107826
459,0.10115311984167999
460,0.15159671276232609
461,0.2530755613800686
462,0.17511017279804397
463,0.27283054966677794
464,0.11599872049278571
465,0.19252320398867284
466,0.14908860721970046
467,0.2538648125225944
468,0.07811936489190707
469,-0.09121848589831358
470,0.023766313906315065
471,0.11571372836839117
472,0.08479379124699528
473,0.10353459128640811
474,0.1676395976574228
475,0.1782361986566117
476,0.14096917096387884
477,-0.028215003513218147
478,0.1413858059754368
479,0.11243970215822803
480,0.1408014249485066
481,0.1396059000258612
482,0.22687298745495746
483,0.1419043994227789
484,0.15049780927239217
485,0.21298518988556736
486,0.1514059343585561
487,0.09439699029016758
488,0.07689281448743822
489,0.05542956961020272
490,0.20629609848476935
491,0.061688621361382895
492,0.20401589382741683
493,0.13088340229490017
494,0.023072035031954402
495,0.011814328904937383
496,-0.0894993083305363
497,-0.024516661096767943
498,-0.06278488969927429
499,-0.029519861738604176
500,-0.025013904197293487
501,0.10211706042830322
502,0.026475801718179447
503,-0.024516660999934586
504,0.01615667501295563
505,0.008334223231148153
506,0.039302535156710235
507,-0.0317685347506847
508,0.00014729806560466566
509,-0.0895058768212985
510,-0.023065631083787643
